Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1996 American Silver Eagle Coin - NGC MS69,376317198552,"Apr 5, 2026",$114.77,$0.00,,,Fixed price,https://www.ebay.com/itm/376317198552
PR70 1996-P DCAM American Silver Eagle PCGS Blue Label,135552580847,"Apr 2, 2026",$303.42,$0.00,,,Fixed price,https://www.ebay.com/itm/135552580847
1996 1 oz American Silver Eagle NGC MS 69,277797232587,"Mar 23, 2026",$120.00,$5.95,,,Fixed price,https://www.ebay.com/itm/277797232587
1996-P Proof American Silver Eagle Dollar $1 Box & COA US Mint Bullion OGP,145760685630,"Mar 25, 2026",$140.99,$0.00,,,Fixed price,https://www.ebay.com/itm/145760685630
[Removed] Item 317991754940,317991754940,"Mar 16, 2026",$10.00,$5.22,,,Fixed price,
1996-P American Silver Eagle PR70 DCAM ICG,126926421524,"Mar 29, 2026",$207.50,$0.00,,,Fixed price,https://www.ebay.com/itm/126926421524
1996 Silver American Eagle $1 Dollar - Uncirculated - Minor Imperfections,147071241552,"Mar 21, 2026",$122.99,$0.00,,,Fixed price,https://www.ebay.com/itm/147071241552
1996-P $1 AMERICAN SILVER PROOF EAGLE w/OGP & COA - FREE SHIPPING!,157793583137,"Apr 4, 2026",$125.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157793583137
1996 1 oz American Silver Eagle Coin,177114693912,"Mar 21, 2026",$130.03,$0.00,,,Fixed price,https://www.ebay.com/itm/177114693912
"1996 SILVER EAGLE - 1oz .999 Pure - SPOTS, DINGS, CLOUDS ALL AVAILABLE ON THESE",236644986662,"Mar 28, 2026",$93.83,$5.95,,,Fixed price,https://www.ebay.com/itm/236644986662
1996 American Silver Eagle Dollar MS69 NGC Mint State 69,298140887509,"Mar 31, 2026",$120.75,$0.00,,,Fixed price,https://www.ebay.com/itm/298140887509
1996 AMERICAN SILVER EAGLE 1 OZ .999 FINE SILVER,318004682372,"Mar 16, 2026",$87.60,$5.60,,,Fixed price,https://www.ebay.com/itm/318004682372
1996 AMERICAN SILVER EAGLE 1 OZ .999 FINE SILVER,318039714758,"Mar 21, 2026",$85.00,$5.83,,,Fixed price,https://www.ebay.com/itm/318039714758
1996 AMERICAN SILVER EAGLE 1 OZ .999 FINE SILVER,318052899451,"Mar 25, 2026",$88.00,$5.35,,,Fixed price,https://www.ebay.com/itm/318052899451
1996 American Silver Eagle Uncirculated Bullion $1 Coin,365683750398,"Mar 30, 2026",$132.99,$0.00,,,Fixed price,https://www.ebay.com/itm/365683750398
1996 P American Silver Eagle Bullion Proof $1 Coin Collectible OGP COA,366122412295,"Mar 7, 2026",$127.99,$0.00,,,Fixed price,https://www.ebay.com/itm/366122412295
1996 US Liberty One Troy Pound 1lb .999 Silver Proof Eagle Coin. 021211,117039413752,"Mar 7, 2026","$1,449.95",$15.60,,,Fixed price,https://www.ebay.com/itm/117039413752
U.S. Mint 1996 American Eagle-(P) Proof Silver Dollar $1 Philadelphia,117059495043,"Mar 13, 2026",$155.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117059495043
1996 American Silver Eagle 1oz Beautiful Bullseye Rainbow Toning Toned Toner,117073191173,"Mar 6, 2026",$325.00,$5.00,,,Fixed price,https://www.ebay.com/itm/117073191173
1996 $1 American Silver Eagle 1 oz Uncirculated Coin .999 Fine,117078861001,"Mar 10, 2026",$124.99,$5.00,,,Fixed price,https://www.ebay.com/itm/117078861001
1996 American Silver Eagle 1 Troy Oz. .999 Fine Silver One Dollar Coin,117114187486,"Apr 4, 2026",$89.09,$0.00,,,Auction,https://www.ebay.com/itm/117114187486
1996-P American Silver Eagle $1 Proof 9.9 NGC X NGCX - Almost PERFECT,126578301308,"Mar 28, 2026",$130.00,$0.00,,,Fixed price,https://www.ebay.com/itm/126578301308
1996 American Silver Eagle MS69 PCGS Struck Through *7602,126616081721,"Mar 8, 2026",$161.00,$0.00,,,Fixed price,https://www.ebay.com/itm/126616081721
MS69 1996 American Silver Eagle PCGS Peripheral Toning *1660,127122312451,"Mar 7, 2026",$145.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127122312451
1996-P Proof American Silver Eagle Coin - W/Org. Pkg. One Troy oz .999 Bullion,127627979394,"Mar 12, 2026",$159.99,$5.15,,,Fixed price,https://www.ebay.com/itm/127627979394
1996 $1 AMERICAN SILVER EAGLE NGC MS69 FROM US MINT SEALED BOX LABEL GREEN CORE,127696396829,"Mar 7, 2026",$145.00,$5.62,,,Fixed price,https://www.ebay.com/itm/127696396829
Better Date 1996 American Silver Eagle 1 Troy Oz .999 Fine Silver *292,127710835224,"Mar 7, 2026",$97.00,$0.00,,,Auction,https://www.ebay.com/itm/127710835224
1996 American Silver Eagle MS69 NGC Brown Label *4079,127710964358,"Mar 7, 2026",$114.95,$0.00,,,Auction,https://www.ebay.com/itm/127710964358
1996 American Silver Eagle MS69 NGC Brown Label *0106,127713295670,"Mar 8, 2026",$120.50,$0.00,,,Auction,https://www.ebay.com/itm/127713295670
Better Date 1996 American Silver Eagle 1 Troy Oz .999 Fine Silver *255,127719278292,"Mar 11, 2026",$99.08,$0.00,,,Auction,https://www.ebay.com/itm/127719278292
1996 American Silver Eagle MS69 NGC Brown Label *7826,127723880605,"Mar 13, 2026",$114.95,$0.00,,,Auction,https://www.ebay.com/itm/127723880605
1996 MS69 $1 American Silver Eagle - Key Date ASE!,127728412279,"Mar 12, 2026",$107.50,$5.77,,,Fixed price,https://www.ebay.com/itm/127728412279
1996 American Silver Eagle MS69 NGC Brown Label *7641,127729844226,"Mar 16, 2026",$114.95,$0.00,,,Auction,https://www.ebay.com/itm/127729844226
Better Date 1996 American Silver Eagle 1 Troy Oz .999 Fine Silver *612,127731806675,"Mar 17, 2026",$100.00,$0.00,,,Auction,https://www.ebay.com/itm/127731806675
Better Date 1996 American Silver Eagle 1 Troy Oz .999 Fine Silver *610,127731976651,"Mar 17, 2026",$108.49,$0.00,,,Auction,https://www.ebay.com/itm/127731976651
Better Date 1996 American Silver Eagle 1 Troy Oz .999 Fine Silver *606,127732148659,"Mar 17, 2026",$103.61,$0.00,,,Auction,https://www.ebay.com/itm/127732148659
Better Date 1996 American Silver Eagle 1 Troy Oz .999 Fine Silver *601,127732278233,"Mar 17, 2026",$105.35,$0.00,,,Auction,https://www.ebay.com/itm/127732278233
1996 American Silver Eagle MS69 NGC Brown Label *9228,127732281872,"Mar 17, 2026",$114.95,$0.00,,,Auction,https://www.ebay.com/itm/127732281872
,,"Oct 17, 2025",$69.00,$10.95,,,Fixed price,,1
,,"Nov 24, 2025",$65.00,$4.00,,,Fixed price,,1
,,"Nov 7, 2025",$65.00,$4.98,,,Fixed price,,1
,,"Oct 18, 2025",$70.78,$5.37,,,Fixed price,,1
,,"Oct 30, 2025",$85.45,$0.00,,,Fixed price,,1
,,"Nov 18, 2025",$71.20,$0.00,,,Fixed price,,1
,,"Nov 2, 2025",$890.00,$0.00,,,Fixed price,,1
,,"Dec 6, 2025",$139.00,$7.35,,,Fixed price,,1
,,"Nov 17, 2025",$62.00,$4.50,,,Auction,,1
,,"Dec 11, 2025",$65.00,$5.00,,,Fixed price,,1
,,"Nov 18, 2025",$56.00,$5.00,,,Auction,,1
,,"Nov 16, 2025",$54.00,$5.00,,,Auction,,1
,,"Nov 11, 2025",$65.00,$0.00,,,Fixed price,,1
,,"Nov 16, 2025",$57.00,$5.99,,,Auction,,1
,,"Nov 16, 2025",$49.99,$7.99,,,Auction,,1
,,"Nov 22, 2025",$67.95,$0.00,,,Fixed price,,1
,,"Nov 23, 2025",$67.95,$0.00,,,Fixed price,,1
,,"Nov 22, 2025",$60.00,$8.00,,,Fixed price,,1
,,"Nov 30, 2025","$1,300.00",$20.00,,,Fixed price,,1
,,"Dec 4, 2025","$1,712.00",$13.95,,,Auction,,1
,,"Dec 5, 2025","$1,451.51",$13.45,,,Auction,,1
,,"Dec 21, 2025","$1,575.00",$30.60,,,Fixed price,,1
,,"Dec 11, 2025",$79.95,$0.00,,,Fixed price,,1
1996 AMERICAN SILVER EAGLE***NGC MS69,116913135515,"Jan 14, 2026",$105.00,$4.60,,,Fixed price,https://www.ebay.com/itm/116913135515,1
,,"Dec 15, 2025","$1,738.08",$13.45,,,Auction,,1
,,"Dec 21, 2025","$1,580.55",$11.10,,,Auction,,1
,,"Dec 23, 2025",$82.88,$5.85,,,Auction,,1
,,"Dec 25, 2025",$89.95,$0.00,,,Fixed price,,1
,,"Dec 28, 2025",$89.95,$8.00,,,Fixed price,,1
,,"Dec 27, 2025",$99.49,$1.99,,,Fixed price,,1
,,"Jan 11, 2026",$89.00,$5.50,,,Fixed price,,1
,,"Jan 1, 2026",$105.00,$4.99,,,Fixed price,,1
1997 MS 69 Silver Eagle EARLY PRODUCTION Struck In 1996 Last One LOOK!,116955717933,"Jan 18, 2026",$180.00,$3.00,,,Fixed price,https://www.ebay.com/itm/116955717933,1
,,"Jan 6, 2026",$107.50,$0.00,,,Auction,,1
,,"Jan 10, 2026",$87.06,$0.00,,,Auction,,1
,,"Jan 10, 2026",$82.00,$3.50,,,Auction,,1
,,"Jan 9, 2026",$80.00,$4.92,,,Auction,,1
1996 AMERICAN SILVER EAGLE 1 OZ. PURE FINE SILVER .999 COIN / GEM-UNC,116969563760,"Jan 14, 2026",$102.24,$4.76,,,Fixed price,https://www.ebay.com/itm/116969563760,1
1996 AMERICAN SILVER EAGLE 1 OZ. PURE FINE SILVER .999 COIN / GEM-UNC,116969573750,"Jan 14, 2026",$102.24,$4.76,,,Fixed price,https://www.ebay.com/itm/116969573750,1
1996 AMERICAN SILVER EAGLE 1 OZ. PURE FINE SILVER .999 COIN / GEM-UNC,116969575090,"Jan 14, 2026",$102.24,$4.76,,,Fixed price,https://www.ebay.com/itm/116969575090,1
1996 AMERICAN SILVER EAGLE 1 OZ. PURE FINE SILVER .999 COIN / GEM-UNC,116969576945,"Jan 14, 2026",$106.00,$4.76,,,Fixed price,https://www.ebay.com/itm/116969576945,1
,,"Jan 7, 2026",$80.00,$5.00,,,Fixed price,,1
,,"Jan 13, 2026",$325.00,$0.00,,,Auction,,1
1996 WALKING LIBERTY AMERICAN EAGLE .999 FINE SILVER DOLLAR COIN 1oz. TONED,116978296249,"Feb 4, 2026",$106.00,$5.07,,,Fixed price,https://www.ebay.com/itm/116978296249,1
,,"Jan 13, 2026",$100.00,$4.76,,,Fixed price,,1
1996-P Proof American Silver Eagle 1 oz .999 Fine Silver w/ Box & COA,116989419043,"Jan 26, 2026",$129.95,$7.95,,,Fixed price,https://www.ebay.com/itm/116989419043,1
1996-P Proof American Silver Eagle 1 oz .999 Fine Silver w/ Box & COA. 011821,116989421640,"Feb 2, 2026",$139.95,$7.95,,,Fixed price,https://www.ebay.com/itm/116989421640,1
1996-P American Silver Eagle Mirror Proof 1 Oz Silver with original box and COA,117002789397,"Jan 31, 2026",$120.03,$0.00,,,Auction,https://www.ebay.com/itm/117002789397,1
1996 P Silver American Eagle PCGS PR69 DCAM 1 oz $1 US Coin,117003000381,"Jan 29, 2026",$147.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117003000381,1
1996 1 oz Silver American Silver Eagle (Brilliant Uncirculated),117009692946,"Jan 30, 2026",$106.00,$5.68,,,Fixed price,https://www.ebay.com/itm/117009692946,1
U.S. Mint American Eagle Silver Dollar 1 oz 0.999 Fine Silver 1996,117013681403,"Feb 8, 2026",$96.00,$7.95,,,Auction,https://www.ebay.com/itm/117013681403,1
1996-P Proof American Silver Eagle - Original Government Packaging - Proof,117016935335,"Feb 3, 2026",$125.00,$4.50,,,Fixed price,https://www.ebay.com/itm/117016935335,1
1996 silver eagle,117021538818,"Feb 12, 2026",$91.02,$11.00,,,Auction,https://www.ebay.com/itm/117021538818,1
1996 American Silver Eagle $1 Coin 1 oz .999 Fine Silver,117026338127,"Mar 1, 2026",$108.00,$5.00,,,Auction,https://www.ebay.com/itm/117026338127,1
1996-P $1 Proof American Silver Eagle in Original Box w/ COA,117054079293,"Feb 24, 2026",$132.50,$0.00,,,Fixed price,https://www.ebay.com/itm/117054079293,1
1996 U.S. American Silver Eagle Lightly Toned Edge and Reverse,117072231497,"Mar 5, 2026",$99.00,$6.00,,,Fixed price,https://www.ebay.com/itm/117072231497,1
1996 Silver American Eagle Coin Uncirculated Littleton Coin Company,117131293383,"Apr 12, 2026",$77.00,$6.00,,,Auction,https://www.ebay.com/itm/117131293383,1
1996 U.S. $1.00 Silver Eagle PCGS MS 66 Toned,122243681379,"Jan 27, 2026",$150.00,$0.00,,,Fixed price,https://www.ebay.com/itm/122243681379,1
1996-P Proof American Silver Eagle PF-70 NGC,122771726872,"Dec 15, 2025",$359.89,$0.00,,,Fixed price,https://www.ebay.com/itm/122771726872,1
1996-P Proof American Silver Eagle PF-69 NGC,124712423709,"Feb 5, 2026",$144.50,$0.00,,,Fixed price,https://www.ebay.com/itm/124712423709,1
